2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
58,Riverside, California,"330,063","303,871",+8.62%,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside),"Riverside is a city in Riverside County, California, United States, located in the Inland Empire metropolitan area. Riverside is the county seat of the eponymous county and named for its location beside the Santa Ana River. It is the most populous city in the Inland Empire and in Riverside County, and is located about 55 miles  east of downtown Los Angeles. It is also part of the Greater Los Angeles area. Riverside is the 59th most populous city in the United States and 12th most populous city in California. As of the 2010 Census, Riverside had a population of 303,871.","92501–92509, 92513–92519, 92521–92522"
59,Corpus Christi, Texas,"326,554","305,215",+6.99%,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi),"The city's population was estimated to be 320,434 in 2014, making it the eighth-most populous city in Texas. The Corpus Christi metropolitan area had an estimated population of 442,600. It is also the hub of the six-county Corpus Christi-Kingsville-Alice Combined Statistical Area, with a 2013 estimated population of 516,793. The Port of Corpus Christi is the fifth-largest in the United States. The region is served by the Corpus Christi International Airport.","78401–78402, 78404–78418"
60,Lexington[o], Kentucky,"323,780","295,803",+9.46%,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington),"Lexington, consolidated with Fayette County and often denoted as Lexington-Fayette, is the second-largest city in Kentucky and the 60th-largest city in the United States. By land area, Lexington is the 28th largest city in the United States. Known as the ""Horse Capital of the World,"" it is the heart of the state's Bluegrass region. It has a nonpartisan mayor-council form of government, with 12 council districts and three members elected at large, with the highest vote-getter designated vice mayor. In the 2018 U.S. Census Estimate, the city's population was 323,780 anchoring a metropolitan area of 516,697 people and a combined statistical area of 746,330 people. ","40502–40517, 40522–40524, 40526, 40533, 40536, 40544, 40546, 40550, 40555, 40574–40583, 40588, 40591, 40598"
61,Stockton, California,"311,178","291,707",+6.67%,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton),"Stockton is the county seat of San Joaquin County in the Central Valley of the U.S. state of California. Stockton was founded by Captain Charles Maria Weber in 1849 after he acquired Rancho Campo de los Franceses. The city is named after Robert F. Stockton, and it was the first community in California to have a name not of Spanish or Native American origin. The city is located on the San Joaquin River in the northern San Joaquin Valley and had an estimated population of 320,554 by the California Department of Finance for 2017. Stockton is the 13th largest city in California and the 63rd largest city in the United States. It was named an All-America City in 1999, 2004, 2015 and again in 2017.","95201–95213, 95215, 95219, 95267, 95269, 95296–95297"
62,Henderson, Nevada,"310,390","257,729",+20.43%,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson),"The township of Henderson first emerged in the 1940s during World War II with the building of the Basic Magnesium Plant. Henderson quickly became the main supplier of magnesium in the United States, which was called the ""miracle metal"" of World War II. The plant supplied the US War Department with magnesium for incendiary munition casings and airplane engines, frames, and other parts. A quarter of all US wartime magnesium came from the Henderson Plant to strengthen aluminum, using 25% of Hoover Dam's power to separate the metal from its ore by electrolysis. Mayor Jim Gibson's grandfather, Fred D. Gibson, was one of the original engineers sent to Great Britain to learn the secret of creating the ""miracle metal"" which would help the United States and its allies win the war. The British liaison officer sent to Henderson, Major Charles Ball, had a street named after him. There was some concern ""Ball St,"" would sound improper, so the street was named ""Major Avenue"".","89002, 89009, 89011, 89012, 8901489016, 89044, 89052, 89053, 89074, 89077"
63,Saint Paul, Minnesota,"307,695","285,068",+7.94%,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul),"Saint Paul  is the capital and second-most populous city of the U.S. state of Minnesota. As of 2017, the city's estimated population was 309,180. Saint Paul is the county seat of Ramsey County, the smallest and most densely populated county in Minnesota. The city lies mostly on the east bank of the Mississippi River in the area surrounding its point of confluence with the Minnesota River, and adjoins Minneapolis, the state's largest city. Known as the ""Twin Cities"", the two form the core of Minneapolis–Saint Paul, the 16th-largest metropolitan area in the United States, with about 3.6 million residents.",55101–55175
64,St. Louis[m], Missouri,"302,838","319,294",−5.15%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis),"St. Louis  is a major independent city and inland port in the U.S. state of Missouri. It is situated along the western bank of the Mississippi River, which marks Missouri's border with Illinois. The Missouri River merges with the Mississippi River just north of the city. These two rivers combined form the fourth longest river system in the world. The city had an estimated 2017 population of 308,626 and is the cultural and economic center of the St. Louis metropolitan area , which is the largest metropolitan area in Missouri, the second-largest in Illinois , and the 20th-largest in the United States.","6310163141, 6314363147, 6315063151, 6315563158, 63160, 6316363164, 6316663167, 63169, 63171, 6317763180, 63182, 63188, 63190, 63195, 6319763199"
65,Cincinnati, Ohio,"302,605","296,943",+1.91%,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati),"Cincinnati  is a major city in the U.S. state of Ohio, and is the government seat of Hamilton County. Settled in 1788, the city is located at the northern side of the confluence of the Licking and Ohio rivers, the latter of which marks the state line with Kentucky. The city drives the Cincinnati–Middletown–Wilmington combined statistical area, which had a population of 2,172,191 in the 2010 census making it Ohio's largest metropolitan area. With a population of 296,943, Cincinnati is the third-largest city in Ohio and 65th in the United States. Its metropolitan area is the fastest growing economic power in the Midwestern United States based on increase of economic output and it is the 28th-largest metropolitan statistical area in the U.S. Cincinnati is also within a day's drive of 49.70% of the United States populace."," 45201–45209, 45211–45255, 45258, 45262–45264, 45267–45271, 45273–45275, 45277, 45280, 45296, 45298–45299, 45999"
66,Pittsburgh, Pennsylvania,"301,048","305,704",−1.52%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh),"Pittsburgh  is a city in the Commonwealth of Pennsylvania in the United States, and is the county seat of Allegheny County. A population of about 301,048 residents live within the city limits, making it the 66th-largest city in the U.S. The metropolitan population of 2,324,743 is the largest in both the Ohio Valley and Appalachia, the second-largest in Pennsylvania , and the 27th-largest in the U.S.","34   15106, 15120–15121, 15201, 15203–15208, 15210–15222, 15224, 15226–15227, 15230, 15232–15235, 15237, 15239, 15289, 15229"
67,Greensboro, North Carolina,"294,722","269,666",+9.29%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro),"In 1808, ""Greensborough""  was planned around a central courthouse square to succeed Guilford Court House as the county seat. The county courts were thus placed closer to the geographical center of the county, a location more easily reached at the time by the majority of the county's citizens, who depended on horse and foot for travel.","27214, 27282, 27301, 27358, 27401, 27402, 27403, 27404, 27405, 27406, 27407, 27408, 27409, 27410, 27411, 27412, 27413, 27415, 27420, 27412, 27429, 27435, 27438, 27455, 27495, 27497, 27498, 27499"
68,Anchorage[p], Alaska,"291,538","291,826",−0.10%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage),"Anchorage  is a unified home rule municipality in the U.S. state of Alaska, located in the West Coast of the United States. With an estimated 291,538 residents in 2018, it is Alaska's most populous city and contains more than 40 percent of the state's total population; among the 50 states, only New York has a higher percentage of residents who live in its most populous city. All together, the Anchorage metropolitan area, which combines Anchorage with the neighboring Matanuska-Susitna Borough, had a population of 399,148 in 2018, which accounts for more than half of the state's population. At 1,706 square miles of land area, the city is the fourth largest city by land in the United States and larger than the smallest state, Rhode Island, at 1,212 square miles.","99501–99524, 9952999530, 99599"
69,Plano, Texas,"288,061","259,841",+10.86%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano),"Plano  is a city in the U.S. state of Texas, located approximately twenty miles  north of downtown Dallas. The city of Plano is a part of the Dallas-Fort Worth metropolitan area. Plano lies mostly within Collin County, but includes a small portion that extends into Denton County.","7502326, 7507475, 75086, 7509394"
70,Lincoln, Nebraska,"287,401","258,379",+11.23%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln),"Lincoln is the capital of the U.S. state of Nebraska and the county seat of Lancaster County. The city covers 94.267 square miles  with a population of 287,401 in 2018. It is the second-most populous city in Nebraska and the 70th-largest in the United States. The city is the economic and cultural anchor of a substantially larger metropolitan area in the southeastern part of the state called the Lincoln Metropolitan and Lincoln-Beatrice Combined Statistical Areas. The statistical area is home to 353,120 people, making it the 106th-largest combined statistical area in the United States.","6850168510, 68512, 68514, 6851668517, 6852068524, 6852668529, 6853168532, 68542, 68544, 68583, 68588"
71,Orlando, Florida,"285,713","238,300",+19.90%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando),"Orlando  is a city in the U.S. state of Florida and the county seat of Orange County. Located in Central Florida, it is the center of the Orlando metropolitan area, which had a population of 2,509,831, according to U.S. Census Bureau figures released in July 2017. These figures make it the 23rd-largest metropolitan area in the United States, the sixth-largest metropolitan area in the Southern United States, and the third-largest metropolitan area in Florida. As of 2015, Orlando had an estimated city-proper population of 280,257, making it the 73rd-largest city in the United States, the fourth-largest city in Florida, and the state's largest inland city.",32825
72,Irvine, California,"282,572","212,375",+33.05%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine),"Irvine  is a master-planned city in Orange County, California, United States in the Los Angeles metropolitan area. The Irvine Company started developing the area in the 1960s and the city was formally incorporated on December 28, 1971. The 66-square-mile  city had a population of 212,375 as of the 2010 census; in 2018 the California Department of Finance estimated the city's population at 276,176.","92602–92604, 92606, 92612, 92614, 92616–92620, 92623, 92650, 92697"
73,Newark, New Jersey,"282,090","277,140",+1.79%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark),"Newark  locally /njʊərk/) is the most populous city in the U.S. state of New Jersey and the seat of Essex County. As one of the nation's major air, shipping, and rail hubs, the city had a population of 285,154 in 2017, making it the nation's 70th-most populous municipality, after being ranked 63rd in the nation in 2000.","0710107108, 07112, 07114"
74,Toledo, Ohio,"274,975","287,208",−4.26%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ / 41.6641; -83.5819﻿ (Toledo),"Toledo  is a city in and the county seat of Lucas County, Ohio, United States. Toledo is in northwest Ohio, at the western end of Lake Erie bordering the state of Michigan. The city was founded in 1833 on the west bank of the Maumee River, and originally incorporated as part of Monroe County, Michigan Territory. It was re-founded in 1837, after conclusion of the Toledo War, when it was incorporated in Ohio."," 43601, 4360343615, 43617, 43620, 43623, 43635, 43652, 43654, 4365643657, 4365943661, 4366643667, 4368143682, 43697, 43699"
75,Durham, North Carolina,"274,291","228,330",+20.13%,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ / 35.9811; -78.9029﻿ (Durham),"Durham is a city in and the county seat of Durham County in the U.S. state of North Carolina.The U.S. Census Bureau estimated the city's population to be 251,893 as of July 1, 2014, making it the 4th-most populous city in North Carolina, and the 78th-most populous city in the United States. Durham is the core of the four-county Durham-Chapel Hill Metropolitan Area, which has a population of 542,710 as of U.S. Census 2014 Population Estimates. The US Office of Management and Budget also includes Durham as a part of the Raleigh-Durham-Chapel Hill Combined Statistical Area, which has a population of 2,037,430 as of U.S. Census 2014 Population Estimates.","27701, 27702, 27703, 27704, 27705, 27706, 27707, 27708, 27709, 27710, 27711, 27712, 27713, 27715, 27717, 27722"
76,Chula Vista, California,"271,651","243,916",+11.37%,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ / 32.6277; -117.0152﻿ (Chula Vista),"Chula Vista  ) is the second largest city in the San Diego metropolitan area, the seventh largest city in Southern California, the fourteenth largest city in the state of California, and the 74th-largest city in the United States. The population was 243,916 as of the 2010 census.","91909–91915, 91921"
77,Fort Wayne, Indiana,"267,633","253,691",+5.50%,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ / 41.0882; -85.1439﻿ (Fort Wayne),"Fort Wayne is a city in the U.S. state of Indiana and the seat of Allen County, United States. Located in northeastern Indiana, the city is 18 miles  west of the Ohio border and 50 miles  south of the Michigan border. With a population of 253,691 in the 2010 census, it is the second-most populous city in Indiana after Indianapolis, and the 75th-most populous city in the United States. It is the principal city of the Fort Wayne metropolitan area, consisting of Allen, Wells, and Whitley counties, a combined population of 419,453 as of 2011. Fort Wayne is the cultural and economic center of northeastern Indiana. The city is within a 300-mile  radius of major population centers, including Chicago, Cincinnati, Cleveland, Columbus, Detroit, Indianapolis, Louisville, Lexington, and Milwaukee. In addition to the three core counties, the combined statistical area  includes Adams, DeKalb, Huntington, Noble, and Steuben counties, with an estimated population of 615,077."," 46774, 46802–46809, 46814–46816, 46818, 46819, 46825, 46835, 46845"
78,Jersey City, New Jersey,"265,549","247,597",+7.25%,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ / 40.7114; -74.0648﻿ (Jersey City),"Jersey City is the second most populous city in the U.S. state of New Jersey, after Newark. It is the seat of Hudson County as well as the county's largest city. As of 2017, the Census Bureau's Population Estimates Program calculated that Jersey City's population was 270,753, with the largest population increase of any municipality in New Jersey since 2010, an increase of about 9.4% from the 2010 United States Census, when the city's population was at 247,597. ranking the city the 75th-most-populous in the nation.","07097, 0730207308, 0731007311"
79,St. Petersburg, Florida,"265,098","244,769",+8.31%,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg),"St. Petersburg is a city in Pinellas County, Florida, United States. As of the 2015 census estimate, the population was 257,083, making it the fifth-most populous city in Florida and the largest in the state that is not a county seat .","33701, 33702, 33703, 33704, 33705, 33710, 3371233713, 33715"
80,Laredo, Texas,"261,639","236,091",+10.82%,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo),"According to the 2010 census, the city population was 236,091, making it the tenth-most populous city in the state of Texas and third-most populated on the Mexico–United States border, after San Diego, California, and El Paso, Texas. Its metropolitan area is the 178th-largest in the U.S. and includes all of Webb County, with a population of 250,304. Laredo is also part of the cross-border Laredo-Nuevo Laredo Metropolitan Area with an estimated population of 636,516.","78040–78046, 78049"
81,Madison, Wisconsin,"258,054","233,209",+10.65%,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison),"Madison is the capital of the U.S. state of Wisconsin and the seat of Dane County. As of July 1, 2017, Madison's estimated population of 255,214 made it the second-largest city in Wisconsin by population, after Milwaukee, and the 82nd-largest in the United States. The city forms the core of the Madison Metropolitan Area which includes Dane County and neighboring Iowa, Green, and Columbia counties for a population of 654,230.",
82,Chandler, Arizona,"257,165","236,123",+8.91%,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler),"Chandler is a city in Maricopa County, Arizona, United States, and a prominent suburb of the Phoenix, Arizona, Metropolitan Statistical Area . It is bordered to the north and west by Tempe, to the north by Mesa, to the west by Phoenix, to the south by the Gila River Indian Community, and to the east by Gilbert. As of 2017, the population was estimated at 253,458 according to the United States Census Bureau.","85225, 85224, 85286, 85248, 85249,85247,85246"
83,Buffalo, New York,"256,304","261,310",−1.92%,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo),"Buffalo is the second largest city in the U.S. state of New York and the largest city in Western New York. As of 2017, the population was 258,612. The city is the county seat of Erie County and a major gateway for commerce and travel across the Canada–United States border, forming part of the bi-national Buffalo Niagara Region.",142
84,Lubbock, Texas,"255,885","229,573",+11.46%,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock),"Lubbock is the 11th-most populous city in the U.S. state of Texas and the county seat of Lubbock County. With a population of 256,042 in 2015, the city is also the 83rd-most populous in the United States. The city is in the northwestern part of the state, a region known historically and geographically as the Llano Estacado, and ecologically is part of the southern end of the High Plains, lying at the economic center of the Lubbock metropolitan area, which has a projected 2020 population of 327,424.","7940179416, 79423, 79424, 79430, 79452, 79453, 79457, 79464, 79490, 79491, 79493, 79499"
85,Scottsdale, Arizona,"255,310","217,385",+17.45%,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale),"Scottsdale is a city in the eastern part of Maricopa County, Arizona, United States, part of the Greater Phoenix Area. Named Scottsdale in 1894 after its founder Winfield Scott, a retired U.S. Army chaplain, the city was incorporated in 1951 with a population of 2,000. The 2015 population of the city was estimated to be 236,839 according to the U.S. Census Bureau. The New York Times described downtown Scottsdale as ""a desert version of Miami's South Beach"" and as having ""plenty of late night partying and a buzzing hotel scene."" Its slogan is ""The West's Most Western Town.""",85250–85271
86,Reno, Nevada,"250,998","225,221",+11.45%,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno),"Reno  is a city in the U.S. state of Nevada, located in the northwestern part of the state, approximately 22 miles  from Lake Tahoe. Known as ""The Biggest Little City in the World"", Reno is known for its casino industry. Reno is the county seat of Washoe County. The city sits in a high desert river valley at the foot of the Sierra Nevada and its downtown area  occupies a valley informally known as the Truckee Meadows. The city is named after Union Major General Jesse L. Reno, who was killed in action during the American Civil War at the Battle of South Mountain on Fox's Gap.",8950089599
87,Glendale, Arizona,"250,702","226,721",+10.58%,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale),"Glendale /ˈɡlɛndeɪl/ is a city in Maricopa County, Arizona, United States, located about nine miles  northwest from Downtown Phoenix. According to the 2017 U.S. Census estimates, the population of the city is 246,709.",8530185318
88,Gilbert[q], Arizona,"248,279","208,453",+19.11%,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert),"Gilbert is a town in Maricopa County, Arizona, United States, located southeast of Phoenix, within the Phoenix metropolitan area. Once known as the ""Hay Shipping Capital of the World"", It is the sixth-largest municipality in Arizona, and the fifth-largest in the Metropolitan Phoenix Area.","85233, 85234, 8529585298"
89,Winston–Salem, North Carolina,"246,328","229,617",+7.28%,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem),"Winston-Salem is called the ""Twin City"" for its dual heritage and ""City of the Arts and Innovation"" for its dedication to fine arts and theater and technological research. ""Camel City"" is a reference to the city's historic involvement in the tobacco industry related to locally based R. J. Reynolds Tobacco Company's Camel cigarettes. Many locals refer to the city as ""Winston"" in informal speech. Another nickname, ""the Dash,"" comes from the dash in the city's name ); this nickname is used by the local minor league baseball team, the Winston-Salem Dash.",
90,North Las Vegas, Nevada,"245,949","216,961",+13.36%,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas),"North Las Vegas  is a city in Clark County, Nevada, United States, in the Las Vegas Valley. As of the 2010 census it had a population of 216,961, with an estimated population of 249,180 in 2017. The city was incorporated on May 16, 1946. It is in the Las Vegas MSA and is the fourth largest city in the state of Nevada.","89030–89033, 89036, 89081, 89084–89087"
91,Norfolk[m], Virginia,"244,076","242,803",+0.52%,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk),"Norfolk  is an independent city in the Commonwealth of Virginia in the United States. At the 2010 census, the population was 242,803; in 2017, the population was estimated to be 244,703 making it the second-most populous city in Virginia after neighboring Virginia Beach.","2350123515, 2351723521, 23523, 23529, 23541, 23551"
92,Chesapeake[m], Virginia,"242,634","222,209",+9.19%,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake),"Chesapeake is included in the Virginia Beach–Norfolk–Newport News, VA–NC MSA. One of the cities in the South Hampton Roads, Chesapeake was organized in 1963 by voter referendums approving the political consolidation of the city of South Norfolk with the remnants of the former Norfolk County, which dated to 1691.  Chesapeake is the second-largest city by land area in the Commonwealth of Virginia, and the 17th-largest in the United States.",2332023328
93,Garland, Texas,"242,507","226,876",+6.89%,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland),"Garland is a city in the U.S. state of Texas. It is located northeast of Dallas and is a part of the Dallas–Fort Worth metroplex. It is located almost entirely within Dallas County, except a small portion located in Collin and Rockwall counties. As of the 2010 census, the city had a population of 226,876, making it the 87th-most populous city in the United States of America and the 12th-most populous city in the state of Texas. In 2017, the population rose to 238,002. Garland is second only to the City of Dallas in Dallas County by population and has easy access to downtown Dallas via public transportation including two Dart Blue line stations and buses.",7504075049
94,Irving, Texas,"242,242","216,290",+12.00%,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving),"Irving includes the Las Colinas community, one of the first master-planned developments in the United States and once the largest mixed-use development in the Southwest with a land area of more than 12,000 acres . Las Colinas is home to the Mustangs at Las Colinas, which is the largest equine sculpture in the world, as well as many Fortune 500 companies, such as ExxonMobil, Kimberly-Clark and Fluor Corporation. In April 2019, the Westin Irving Convention Center Hotel opened, signalling the completion of the city's special entertainment district that includes the Irving Convention Center at Las Colinas and the Toyota Music Factory.",75000–75099
95,Hialeah, Florida,"238,942","224,669",+6.35%,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah),"Hialeah has the highest percentage of Cuban and Cuban American residents of any city in the United States, at 73.37% of the population, making them a typical and prominent feature of the city's culture. All Hispanics make up 94.7% of the city's population, the second-highest percentage of a Hispanic population in a U.S. city with over 100,000 citizens.","33002, 3301033018"
96,Fremont, California,"237,807","214,089",+11.08%,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ / 37.4945; -121.9412﻿ (Fremont),"Located in the southeast San Francisco Bay Area and straddling both the East Bay and South Bay regions, Fremont has a rapidly-growing population of around 230,000. It is one of the largest cities by land area and the fourth most populous city in the San Francisco Bay Area, behind San Jose, San Francisco, and Oakland. It directly borders and is the closest East Bay city to Silicon Valley as formally defined, and is thus often associated with it. The city has an extensive and rapidly expanding base of both tech industry and workers.","94536–94539, 94555"
97,Boise[r], Idaho,"228,790","205,671",+11.24%,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ / 43.6002; -116.2317﻿ (Boise),"Boise ) is the capital and most populous city of the U.S. state of Idaho, and is the county seat of Ada County. Located on the Boise River in southwestern Idaho, the population of Boise at the 2010 Census was 205,671, the 99th largest in the United States. Its estimated population in 2016 was 223,154.",83701–83799
98,Richmond[m], Virginia,"228,783","204,214",+12.03%,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W﻿ / 37.5314; -77.4760﻿ (Richmond),Richmond  is the capital of the Commonwealth of Virginia in the United States. It is the center of the Richmond Metropolitan Statistical Area  and the Greater Richmond Region. Richmond was incorporated in 1742 and has been an independent city since 1871.,"23173, 23218–23242, 23249–23250, 23255, 23260–23261, 23269, 23273–23274, 23276, 23278–23279, 23282, 23284–23286, 23288–23295, 23297–23298"
99,Baton Rouge[s], Louisiana,"221,599","229,493",−3.44%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W﻿ / 30.4422; -91.1309﻿ (Baton Rouge),"Baton Rouge  , meaning 'red stick') is the capital of the U.S. state of Louisiana. Located on the eastern bank of the Mississippi River, it is the parish seat of East Baton Rouge Parish, the most populous parish in Louisiana. It is the 99th most populous city in the United States, and second-largest city in Louisiana after New Orleans. It is also the 16th most populous state capital. As of the U.S. Census Bureau's July 2017 estimate, Baton Rouge had a population of 227,549, down from 229,493 at the 2010 census. Baton Rouge is the center of Greater Baton Rouge, the second-largest metropolitan area in Louisiana, with a population of 834,159 as of 2017, up from 802,484 in 2010 and 829,719 in 2015.","7080170817, 7081970823, 7082570827, 70831, 70833, 7083570837, 70874, 70879, 70883, 70884, 7089270896, 70898"
